,TransOrder,M_MSL,M_MHHW,Beach,Distance_ft,Max_Ero,Max_25,Max_50,Max_150
72,66,5039.314453,5101.553711,Ano,62.2392578,5402.267891607313,5480.45756495323,5558.647238299147,5871.405931682813
73,67,5013.282227000001,5077.217772999999,Ano,63.9355468,5328.519859792474,5406.470382487906,5484.420905183338,5796.222995965066
74,68,5050.379883,5104.643066,Ano,54.2631836,5368.984967307789,5447.239824952983,5525.494682598177,5838.514113178955
75,69,5104.473633,5148.695313,Ano,44.2216797,5367.83520869393,5447.122839967356,5526.410471240783,5843.560996334489
76,70,5010.378418,5038.080566,Ano,27.7021484,5321.196627663003,5396.895525375403,5472.594423087804,5775.3900139374055
77,71,4878.855469,4895.748047,Ano,16.8925781,5185.328788979395,5258.211243174856,5331.093697370316,5622.623514152158
78,72,4775.689453,4796.754883,Ano,21.0654297,4861.726167382824,4940.540099391794,5019.354031400762,5334.609759436639
79,73,4778.561522999999,4821.617188,Ano,43.0556641,5164.170828460556,5236.916245017888,5309.66166157522,5600.643327804549
80,74,4907.056152,4949.806640999999,Ano,42.7504883,5310.986262299835,5385.506172251662,5460.026082203489,5758.105722010797
81,75,5075.563477000001,5086.919922,Ano,11.3564453,5113.71080152149,5197.50473656144,5281.29867160139,5616.474411761191
82,76,5142.933594,5205.919922,Ano,62.986328099999994,5586.467427478931,5665.747967602031,5745.028507725132,6062.150668217533
83,77,5256.176758,5305.822265999999,Ano,49.6455078,5553.37545048767,5634.828446326631,5716.281442165591,6042.093425521434
84,78,5306.269531,5375.28418,Ano,69.0146484,5631.655398209766,5714.074630261463,5796.493862313162,6126.170790519955
85,79,5395.986328,5444.076172,Ano,48.0898438,5729.070817493037,5812.362575637024,5895.654333781012,6228.82136635696
86,80,5478.900390999999,5484.598633,,5.6982422,5509.173858668528,5592.117518431759,5675.06117819499,6006.835817247914
